Borough,Name,Location,CityMap Location,Materials Accepted:,Days ,Hours,Months of Operation,Requirements,Organizer,Composted By,Website
BK,462 Halsey Community Garden,"462 Halsey Street
Brooklyn, NY 11223&nbsp;&nbsp;&nbsp;
(40.68338860098805, -73.9357346332942)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002094,188192&c=GISBasic&s=a:462,HALSEY+STREET,BROOKLYN",food scraps,whenever the garden is open,whenever the garden is open,whenever the garden is open,check website regularly for drop off schedule updates,462 Halsey Community Garden  ,462 Halsey Community Garden  ,http://462halsey.com/composting/
BK,Bay Ridge Greenmarket,"3rd Ave &amp; 95th Street
Brooklyn, NY 11209&nbsp;&nbsp;&nbsp;
(40.62450999973686, -74.03007000033011)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=974925,164169&c=GISBasic&s=i:3+AVENUE,95+STREET,N,BROOKLYN",food scraps,Saturdays,8 am – 1:00 pm,"May 12-Nov 17, 2012",check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Brooklyn Borough Hall Greenmarket,"Court St &amp; Montague St
Brooklyn, NY 11201&nbsp;
(40.69373999970139, -73.99130999985647)","http://gis.nyc.gov/doitt/nycitymap/?z=9&p=986952,192125&c=GISBasic&s=i:COURT+STREET,MONTAGUE+STREET,BROOKLYN",food scraps,Saturdays,8 am – 4 pm,Year Round,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Carrol Gardens Greenmarket,"Carroll St, b/t Smith &amp; Court
Brooklyn, NY 11231&nbsp;
(40.680220000352904, -74.0006699998205)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=985667,187092&c=GISBasic&s=i:SMITH+STREET,CARROLL+STREET,S,BROOKLYN",food scraps,Sundays,8 am – 1 pm,,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Compost For Brooklyn,"Newkirk Ave &amp; East 8th St
Brooklyn, NY 11230&nbsp;
(40.62294000018102, -73.96349999982499)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993880,172748&c=GISBasic&s=i:CORTELYOU+ROAD,RUGBY+ROAD,BROOKLYN","food scraps, leaves, garden trimmings","Saturdays, Sundays, Thursdays",Sat: 10 am– 1 pm; Sun  1 – 4 pm; Thur  4:30 to 6:30 PM,Year Round,check website regularly for drop off schedule updates,Compost For Brooklyn ,Compost For Brooklyn ,http://compostforbrooklyn.org/
BK,Cortelyou Greenmarket,"Courtelyou Rd b/t Argyle &amp; Rugby Rd
Brooklyn, NY 11226&nbsp;&nbsp;
(40.64728000027196, -73.9573199999179)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=993880,172748&c=GISBasic&s=i:CORTELYOU+ROAD,RUGBY+ROAD,BROOKLYN","food scraps, leaves, garden trimmings",Sundays,8 am – 1 pm,,check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Fort Greene Greenmarket ,"Washington Park b/t Dekalb Ave &amp; Willoughby Ave
Brooklyn, NY 11201&nbsp;
(40.69373999970139, -73.99130999985647)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=991703,190525&c=GISBasic&s=i:DEKALB+AVENUE,WASHINGTON+PARK,BROOKLYN",food scraps,Saturdays,8 am – 3 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,Grand Army Plaza Greenmarket,"Prospect Park West &amp; Plaza St West
Brooklyn, NY 11238&nbsp;
(40.679380000286926, -73.9635700003551)","http://gis.nyc.gov/doitt/nycitymap/?z=7&p=991952,182827&c=GISBasic&s=i:PROSPECT+PARK+WEST,PLAZA+ST+WEST,BROOKLYN",food scraps,Saturdays,8 am – 3:30 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,McCarren Park Greenmarket,"229 North 12th St
Brooklyn, NY 11211&nbsp;
(40.71978151369627, -73.95335566994004)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997287,201419&c=GISBasic&s=a:229,NORTH+12+STREET,BROOKLYN",food scraps,Saturdays,8 am – 2 pm,Year Round,check website for specific food scrap drop-off requirements and schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program ,GrowNYC community partners,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml
BK,North Brooklyn Compost Project @ McCarren Park,"229 North 12th St
Brooklyn, NY 11211&nbsp;
(40.71978151369627, -73.95335566994004)","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=997287,201419&c=GISBasic&s=a:229,NORTH+12+STREET,BROOKLYN",food scraps,Saturdays,9 am – 12 pm,Year Round,must assist with maintenance of compost site,North Brooklyn Compost Project ,North Brooklyn Compost Project ,http://northbrooklyncompostproject.wordpress.com/
