borough,name,gx_location,lat,lon,citymap_location,materials_accepted,days,hours,months_of_operation,Requirements,organizer,composted_by,website,site_type,container_type,nyc_compost,nyc_compost.href
BK,100 Quincy Community Garden,"100 Quincy Street, 11238",,,"http://maps.nyc.gov/doitt/nycitymap/?z=7&p=996697,188745&c=GISBasic&s=a:100,QUINCY+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,https://www.facebook.com/100Quincy?ref=stream,Community Garden,enclosed bin,no,
BK,3 Stars Garden,"51 Edwards Street, 11205",,,,"leaves, garden trimmings, food scraps",,,,,,,,NYC Schools (K-12),2 or 3 bin,no,
BK,462 Halsey Community Garden,"462 Halsey Street, Brooklyn, NY 11223
(40.68338860098805, -73.9357346332942)",40.6833886,-73.93573463,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002094,188192&c=GISBasic&s=a:462,HALSEY+STREET,BROOKLYN",food scraps,whenever the garden is open,whenever the garden is open,whenever the garden is open,check website regularly for drop off schedule updates,462 Halsey Community Garden,462 Halsey Community Garden,http://462halsey.com,Community Garden,"2 or 3 bin, enclosed bin, open pile",no,
BK,64th Street Garden,"373 64th Street, 11220",,,"http://maps.nyc.gov/doitt/nycitymap/?z=8&p=978436,172040&c=GISBasic&s=a:373,64+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,https://www.facebook.com/pages/64th-Street-Community-Garden/167546503305947,Community Garden,"2 or 3 bin, enclosed bin",no,
BK,6th Ave / 15th Street Green Community Garden,"274 15th Street, 11215",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=987745,181332&c=GISBasic&s=a:274,15+STREET,BROOKLYN",varies,,,,,,,http://www.615green.org,Community Garden,"2 or 3 bin, enclosed bin, open pile",no,
BK,Added Value,"370 Van Brunt Street, 11231",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=980586,186061&c=GISBasic&s=a:370,VAN+BRUNT+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://www.added-value.org,Business,"2 or 3 bin, open pile/bin, enclosed bins",yes,
BK,Amazing Garden,"Corner of Columbia and Carroll Streets, 11231",,,,"leaves, garden trimmings",,,,,,,http://www.nycgovparks.org/parks/B409,Community Garden,"2 or 3 bin, enclosed bin",no,
BK,Bay Ridge Greenmarket,"3rd Ave &amp; 95th Street, Brooklyn, NY 11209
(40.62450999973686, -74.03007000033011)",40.62451,-74.03007,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=974925,164169&c=GISBasic&s=i:3+AVENUE,95+STREET,N,BROOKLYN",food scraps,Saturdays,8 am – 1:00 pm,"May 12-Nov 17, 2012",check website regularly for drop off schedule updates,DSNY & GrowNYC Food Waste Drop-Off Program,NYC Department of Sanitation,http://www.nyc.gov/html/nycwasteless/html/compost/compostproj_orp_program.shtml,,,,
BK,Bed Stuy Campaign Against Hunger,"2010 Fulton Street, 11233",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1007041,186477&c=GISBasic&s=a:2010,FULTON+STREET,BROOKLYN","garden trimmings, food scraps",,,,,,,http://www.bedstuyagainsthunger.org,Business,2 or 3 bin,no,
BK,BRM Bed Stuy Farm,"255 Bainbridge Street, 11223",,,"http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1004552,187621&c=GISBasic&s=a:255,BAINBRIDGE+STREET,BROOKLYN","leaves, garden trimmings, food scraps",,,,,,,http://brooklynrescuemission.org/Bedstuyfarm.aspx,Community Garden,tumbler,no,
