Borough,Name,Website,Location,Citymap Location,Site Type,Container Type,Materials Accepted,NYC Compost
BK,6th Ave / 15th Street Green Community Garden,http://www.615green.org,"274 15th Street, 11215","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=987745,181332&c=GISBasic&s=a:274,15+STREET,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bin, open pile",varies,no
BK,64th Street Garden,https://www.facebook.com/pages/64th-Street-Community-Garden/167546503305947,"373 64th Street, 11220","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=978436,172040&c=GISBasic&s=a:373,64+STREET,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bin","leaves, garden trimmings, food scraps",no
BK,100 Quincy Community Garden,https://www.facebook.com/100Quincy?ref=stream,"100 Quincy Street, 11238","http://maps.nyc.gov/doitt/nycitymap/?z=7&p=996697,188745&c=GISBasic&s=a:100,QUINCY+STREET,BROOKLYN",Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
BK,462 Halsey Community Garden,http://www.462halsey.com,"462 Halsey Street, 11233","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1002094,188192&c=GISBasic&s=a:462,HALSEY+STREET,BROOKLYN",Community Garden,"2 or 3 bin, enclosed bin, open pile",varies,no
BK,Amazing Garden,http://www.nycgovparks.org/parks/B409,"Corner of Columbia and Carroll Streets, 11231",,Community Garden,"2 or 3 bin, enclosed bin","leaves, garden trimmings",no
BK,BRM Bed Stuy Farm,http://brooklynrescuemission.org/Bedstuyfarm.aspx,"255 Bainbridge Street, 11223","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1004552,187621&c=GISBasic&s=a:255,BAINBRIDGE+STREET,BROOKLYN",Community Garden,tumbler,"leaves, garden trimmings, food scraps",no
BK,Brooklyn Bears Carlton Avenue Garden,http://www.cenyc.org/osg-rwh-carlton,"Carlton Avenue between Greene Avenue and Fulton Street, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=992280,189089&c=GISBasic&s=l:BROOKLYN,1957,21,PLUTO",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Brooklyn's Finest,,"48 Lefferts Place, 11238","http://gis.nyc.gov/doitt/nycitymap/?z=10&p=994618,188401&c=GISBasic&s=a:48,LEFFERTS+PLACE,BROOKLYN",Community Garden,enclosed bin,"leaves, garden trimmings",no
BK,Brownsville Student Farm Project,http://www.studentfarmproject.com,"235 Union Street, 11231","http://maps.nyc.gov/doitt/nycitymap/?z=8&p=984671,188228&c=GISBasic&s=a:235,UNION+STREET,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
BK,Bushwick City Farm,,"895 Broadway, 11206","http://gis.nyc.gov/doitt/nycitymap/?z=8&p=1001679,193506&c=GISBasic&s=a:896,BROADWAY,BROOKLYN",Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps, chicken manure",no
