Borough,Name.text,Name.href,Location.text,Location.href,Site Type,Container Type,Materials Accepted,NYC Compost
MN,6th and B Garden,http://www.6bgarden.org,"East 6th Street and Avenue B, 10009",http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=E+6th+St+&crossStreetTwo=Ave+B&borough=Manhattan&Submit4=Go,Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
MN,9th Street Community Garden,http://www.myspace.com/9ccommunitygarden,"Avenue C between East 9th Street and East 10th Street, 10009",http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=Ave+C&crossStreetTwo=E+9th+St&borough=Manhattan&Submit4=Go,Community Garden,enclosed bins,"leaves, garden trimmings, food scraps",no
MN,11BC Serenity Garden,,"626 East 11th Street, 10009",http://gis.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=626&street=E+11th+St&borough=Manhattan&Submit=Go,Community Garden,enclosed bins,"leaves, garden trimmings, food scraps",no
MN,103rd Street Community Garden,http://www.nyrp.org/Parks_and_Gardens/Community_Gardens/Manhattan/103rd_Street_Community_Garden,"East 103rd Street between Park Avenue and Lexington Avenue, 10029",http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=E+103rd+St&crossStreetTwo=Park+Ave&borough=Manhattan&Submit4=Go,Community Garden,"2 or 3 bin, enclosed bins","leaves, garden trimmings",no
MN,124th St Garden,http://groups.yahoo.com/group/communitygardenwest124st,"West 124th Street between Mt. Morris Park West and Lennox Avenue, 10027",http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=West+124th+St&crossStreetTwo=Mt+Morris+Park+West&borough=Manhattan&Submit4=Go,Community Garden,varies,"leaves, garden trimmings, food scraps",no
MN,All People's Garden,http://http//www.grownyc.org/openspace/gardens/man/all-peoples,"293-295 East 3rd Street, 10009",http://maps.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=293&street=East+3rd+St&borough=Manhattan&Submit=Go,Community Garden,enclosed bin,"leaves, garden trimmings, food scraps",no
MN,Carver Community Garden,,"242 East 124 Street, 10035",http://gis.nyc.gov/doitt/nycitymap/?searchType=AddressSearch&addressNumber=242&street=East+124+St&borough=Manhattan&Submit=Go,Community Garden,enclosed bins,"leaves, garden trimmings, food scraps",no
MN,Chenchita's Garden,,"East 112th Street and Madison Avenue, 10029",http://gis.nyc.gov/doitt/nycitymap/?searchType=IntersectionSearch&crossStreetOne=East+112th+St&crossStreetTwo=Madison+Ave&borough=Manhattan&Submit4=Go,Community Garden,2 or 3 bin,"leaves, garden trimmings, food scraps",no
MN,Clinton Community Garden,http://www.clintoncommunitygarden.org,"West 48th Street between 9th Avenue and 10th Avenue, 10036",http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=1057&lot=50&Submit3=Go,Community Garden,"2 or 3 bin, enclosed bins","leaves, garden trimmings, food scraps",no
MN,Creative Little Garden,http://www.creativelittlegarden.org,"530 East 6th Street between Avenue A and Avenue B, 10009",http://gis.nyc.gov/doitt/nycitymap/?searchType=BblSearch&borough=Manhattan&block=401&lot=25&Submit3=Go,Community Garden,enclosed bins,"leaves, garden trimmings, food scraps",no
