"Site ID","Name of Site","Authored By","User ID","Authored On","Last Edited","Primary Term","Icon","Tags","Description","Language","Appointment Needed","Children Welcome","Volunteer","Details of Volunteer Opportunities","Accessible by public transport","Public Transit Directions","Telephone","Site Email","Free entry","Entry cost","Web Address","Wheelchair Accessible","Street location","Additional","City","Province","Country","Postal Code","Latitude","Longitude","Maps","Map IDs","Public Site","Contributor Directly Involved In Site","Contributor Name","Contributor Email","Image","Image caption or credit","Video","Video caption or credit","Awaiting Approval","Published"
"1","Green Map System","admin","1","10/19/2007 - 14:54","10/17/2012 - 16:35","Significant Organization/Agency","Eco Club/Organization, Significant Organization/Agency, Volunteer Site, Eco Expert, Green Maps Available","","Green Map System promotes inclusive participation in sustainable community development around the world, using mapmaking as our medium. This organization created the Open Green Map platform!
Some of the eco-smart things done in the office include: recycling of all paper, glass and metal, plastic bottles, toner cartridges and electronics; house plants for better air quality; reused furniture; bike parking space indoors. Our lighting is mostly on dimmers and kept low, and we unplug the fridge in winter and set the things we need to keep cool outdoors. We offset our electricity with wind power. We choose recycled or FCS paper and try to design to minimize waste. Most the staff is vegetarian or vegan, and we all use public transport or bike to work. Green Map is a member of local and global networks that promote sustainability, too. 
Green Map System supports local Green Mapmakers as they create perspective-changing community ‘portraits’ which act as comprehensive inventories for decision-making and as practical guides for residents and tourists. Mapmaking teams pair our adaptable tools and universal iconography with local knowledge and leadership to chart green living, ecological, social and cultural resources.’
绿地图系统利用绘图作为媒介来促进世界各地可持续发展社区的包容性参与。此组织同时创造了开放式绿地图平台。
一些在办公室内推广的环保行动包括：所有纸张，玻璃，金属，塑料瓶，打印机墨盒，以及电子设备的回收；提升室内空气质量的室内绿植，再利用的家具，室内自行车停放处。办公室市内的灯光大多是可调式的，并且保持较低的光线，在冬天我们会拔掉冰箱插销并将需要冷藏的东西放在室外。我们通过风力来抵销耗费的电力。我们同时选择可回收或者森林管理委员会认证的纸张并尽可能的减少浪费。办公室的员工大多是素食主义者甚至严格素食主义者，并坚持使用公共交通或者骑车的方式来上班。绿地图同时也是当地及全球网络种宣传可持续发展的一员。
绿地图系统可以帮助各地绿地图绘制者创作出可改变观念的社区“肖像”，为决策提供全面的社区档案清单，并为居民及游客提供使用的导览。地图绘制团队将我们易用的工具，及全球通用的图标与他们的本地知识及领导层结合, 绘制出有绿色生活，生态，社会，及文化特性的资源。","","Appointment needed","Not child friendly","Volunteer Opportunities are Available","","Accessible by public transport","The nearest subway is the 2nd ave stop on the F-V. Also nearby is the 1st Ave stop on the L train, or the Astor Place stop on the 6. There are several buses that run along Avenues A and B that stop near 4th Street.","212 674 1631","info@greenmap.org","Not free","","http://www.greenmap.org","Wheelchair Accessible","220A East 4th Street","","New York, NY","New York","United States","10009","40.723712","-73.983544","Green Teens Green Map, NYC Compost Green Map, Green Map NYC, Green Culture Cycling Tour - Lower East Side NYC","2768, 366, 1561, 32049","Yes","Yes","","","http://www.flickr.com/photos/9417118@N08/3113069169","","Watch video","Green Teens Green Map & Modules","","Yes"
"10","6B Community Garden","admin","1","11/08/2007 - 15:23","07/15/2014 - 14:48","Community Garden","Native Forests/Plants, Cultural Performance, Community Garden, Spring Blossoms, Insect Watching Site, Composting Site","","A beautiful community garden with a huge sculpture and a performance space. Often open during the evening. Fabulous fireflies!","","Appointment not needed","Children welcome","Volunteer Opportunities are Available","","Accessible by public transport","","","","Free entry","","","Wheelchair Accessible","East 6th Street","At Ave B","New York","New York","United States","10009","40.724169","-73.982019","NYC Energy, NYC Compost Green Map, Less = More NYC, Green Map NYC","22599, 366, 30990, 1561","Yes","No","","","http://www.flickr.com/photos/9417118@N08/1831579978","","","","","Yes"
"11","The Secret Garden","admin","1","11/08/2007 - 15:46","03/10/2012 - 17:01","Community Garden","Community Garden, Spring Blossoms, Bird and Wildlife Watching, Composting Site","","The secret garden in the East Village","","Appointment not needed","Children welcome","Volunteer Opportunities are Available","","Accessible by public transport","","","","Free entry","","","Wheelchair Accessible","East 4th Street","On Ave C","New York","New York","United States","10009","40.722494","-73.980356","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","http://www.flickr.com/photos/9417118@N08/1830732829","","","","","Yes"
"178","Inwood Hill Park Nature Center","NYC Green Apple Map","22","03/03/2008 - 11:26","06/30/2011 - 16:14","Environmental Education","Environmental Education","","Large-scale worm bin for community & Center’s food waste. Educational portable worm bin, too.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","http://www.nycgovparks.org/sub_about/parks_divisions/urban_park_rangers/pd_ur_nature_centers.html#top","Not accessible","218th & Indian Rd.","","New York","New York","United States","","40.873025","-73.918473","NYC Energy, NYC Compost Green Map, Green Map NYC","22599, 366, 1561","Yes","No","","","http://www.flickr.com/photos/32521908@N00/23523407","","","","","Yes"
"179","Riverside-Inwood Neighborhood Garden (RING)","NYC Green Apple Map","22","03/03/2008 - 12:06","04/20/2010 - 09:47","Community Garden","Community Garden","","This community garden houses 3 compost bins, 2 wire holding pens &  a worm bin. It also contains a butterfly garden and is available for public visits and school programs.","","Appointment not needed","Children welcome","No Volunteer Opportunities","","Accessible by public transport","By subway:  Take the ""A"" train to 200th/Dyckman","","mclarke@hunter.cuny.edu","Not free","","http://www.geography.hunter.cuny.edu/~mclarke/RING.htm","Not accessible","Dyckman, Riverside, & Broadway Triangle","","New York","New York","United States","","40.865407","-73.927720","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/92843255@N00/428385797","","","","","Yes"
"180","Our Lady Queen of Martyrs School","NYC Green Apple Map","22","03/03/2008 - 12:12","04/20/2010 - 09:46","School","School","","Composting cafeteria waste in rooftop garden","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","(212) 567-3190","","Not free","","","Not accessible","71 Arden St.","","New York","New York","United States","10040","40.863257","-73.927989","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos//245896456","","","","","Yes"
"181","Riley-Levin Children's Garden at Swindler Cove Park","NYC Green Apple Map","22","03/03/2008 - 12:25","04/20/2010 - 09:48","Community Garden","Community Garden","","Children tend and harvest plants and compost organic waste in this garden that contains 18 large planting beds.","","Appointment not needed","Children welcome","No Volunteer Opportunities","","Not accessible by public transport","","(212) 333-2552","aprice@nyrp.org","Not free","","http://www.nyrp.org/parks/index.php?sub=0&p=2&q=3","Not accessible","Harlem River Drive & Dyckman St.","","New York","New York","United States","","40.859038","-73.923021","NYC Compost Green Map, Green Map NYC","366, 1561","Yes","No","","","http://www.flickr.com/photos/34736738@N00/828090290","","","","","Yes"
"182","West 181st St. Beautification Project","NYC Green Apple Map","22","03/03/2008 - 12:32","03/03/2008 - 12:32","Composting Site","Composting Site","","Community garden with public drop off for compost","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","880 W. 181st St.","","New York","New York","United States","","40.851329","-73.940777","NYC Compost Green Map","366","Yes","No","","","","","","","","Yes"
"183","West 124th Street Community Garden","NYC Green Apple Map","22","03/03/2008 - 12:41","02/28/2011 - 15:55","Composting Site","Composting Site","","Small but growing public bin system with composting workshops in English & Spanish!","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","communitygardenwest124st@yahoogroups.com","Not free","","http://groups.yahoo.com/group/communitygardenwest124st/","Not accessible","West 124th St. Between Lenox & Fifth Aves.","","New York","New York","United States","","40.714353","-74.005973","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
"184","PS 76 A.P. Randolph School","NYC Green Apple Map","22","03/03/2008 - 12:51","02/28/2011 - 15:57","School","School","","School with a fun Rolypig compost bin and yard waste system.","","Appointment not needed","Not child friendly","No Volunteer Opportunities","","Not accessible by public transport","","","","Not free","","","Not accessible","220 W. 121st St.","","New York","New York","United States","10027","40.806618","-73.950923","Green Map NYC, NYC Compost Green Map","1561, 366","Yes","No","","","","","","","","Yes"
